Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
123;Prądzonka;;;54.031667, 17.545;https://pl.wikipedia.org/wiki/Pr%C4%85dzonka;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
124;Wierzchocina;;;53.959722, 17.253611;https://pl.wikipedia.org/wiki/Wierzchocina;;;1;;;1;;;1;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
125;Zapceń;;;53.991944, 17.476111;https://pl.wikipedia.org/wiki/Zapce%C5%84;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
126;Trzebuń;;;54.011667, 17.704444;https://pl.wikipedia.org/wiki/Trzebu%C5%84_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;1;1;;;1;ccccc;bbbbb;bbbbb
127;Piechowice;;;54.016667, 17.810833;https://pl.wikipedia.org/wiki/Piechowice_(wojew%C3%B3dztwo_pomorskie);;;1;;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
128;Wdzydze Kiszewskie;Wdzydze;;54.012778, 17.933611;https://pl.wikipedia.org/wiki/Wdzydze_(wie%C5%9B);;;1;;;1;;;;;1;;;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
131;Trzcińsk;;;54.0475, 18.534167;https://pl.wikipedia.org/wiki/Trzci%C5%84sk;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
131a;Ciecholewy;;;54.028056, 18.575278;https://pl.wikipedia.org/wiki/Ciecholewy_(powiat_starogardzki);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
132;Koteże;;;53.926111, 18.495556;https://pl.wikipedia.org/wiki/Kote%C5%BCe;;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
133;Nowa Cerkiew;;;53.866667, 18.658889;https://pl.wikipedia.org/wiki/Nowa_Cerkiew_(powiat_tczewski);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
134;Tychnowy;;;53.780278, 18.958056;https://pl.wikipedia.org/wiki/Tychnowy;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
135;Jeleń Królewski;Jeleń;;53.784722, 18.780556;https://pl.wikipedia.org/wiki/Jele%C5%84_(wojew%C3%B3dztwo_pomorskie);;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;ccccc;bbbbb;bbbbb
136;Upiłka;;;53.951111, 17.3225;https://pl.wikipedia.org/wiki/Upi%C5%82ka;;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
137;Mielno;;;53.947222, 17.452778;https://pl.wikipedia.org/wiki/Mielno_(powiat_bytowski);;;1;;;1;;;;;;;1;1;;;;;;;1;1;1;;1;;;1;ccccc;bbbbb;bbbbb
